x,y,z
-431.42,0.00,-1310.57
-402.18,0.00,-1310.57
-372.94,0.00,-1310.57
-343.70,0.00,-1310.57
-314.46,0.00,-1310.57
-285.22,0.00,-1310.57
-255.98,0.00,-1310.57
-226.74,0.00,-1310.57
-197.50,0.00,-1310.57
-168.26,0.00,-1310.57
-139.02,0.00,-1310.57
-109.78,0.00,-1310.57
-80.54,0.00,-1310.57
-51.30,0.00,-1310.57
-22.06,0.00,-1310.57
7.18,0.00,-1310.57
36.43,0.00,-1310.57
65.67,0.00,-1310.57
94.91,0.00,-1310.57
124.15,0.00,-1310.57
153.39,0.00,-1310.57
182.63,0.00,-1310.57
211.87,0.00,-1310.57
241.11,0.00,-1310.57
270.35,0.00,-1310.57
299.59,0.00,-1310.57
328.83,0.00,-1310.57
358.07,0.00,-1310.57
387.31,0.00,-1310.57
416.55,0.00,-1310.57
445.79,0.00,-1310.57
475.03,0.00,-1310.57
504.27,0.00,-1310.57
533.51,0.00,-1310.57
562.75,0.00,-1310.57
591.99,0.00,-1310.57
621.23,0.00,-1310.57
650.47,0.00,-1310.57
679.71,0.00,-1310.57
708.95,0.00,-1310.57
738.19,0.00,-1310.57
767.43,0.00,-1310.57
796.68,0.00,-1310.57
825.92,0.00,-1310.57
855.16,0.00,-1310.57
884.40,0.00,-1310.57
913.64,0.00,-1310.57
942.88,0.00,-1310.57
972.12,0.00,-1310.57
1001.36,0.00,-1310.57
1030.60,0.00,-1310.57
1059.84,0.00,-1310.57
1089.08,0.00,-1310.57
1118.32,0.00,-1310.57
1147.56,0.00,-1310.57
1176.80,0.00,-1310.57
1206.04,0.00,-1310.57
1235.28,0.00,-1310.57
1264.52,0.00,-1310.57
1293.76,0.00,-1310.57
1323.00,0.00,-1310.57
1352.24,0.00,-1310.57
1381.48,0.00,-1310.57
1410.72,0.00,-1310.57
1439.96,0.00,-1310.57
1469.20,0.00,-1310.57
1498.44,0.00,-1310.57
-1513.32,0.00,-1280.57
-1484.07,0.00,-1280.57
-1454.83,0.00,-1280.57
-1425.59,0.00,-1280.57
